user_id,item_id,last_watch_dt,total_dur,watched_pct
176549,9506,2021-05-11,4250,72
699317,1659,2021-05-29,8317,100
656683,7107,2021-05-09,10,0
864613,7638,2021-07-05,14483,100
964868,9506,2021-04-30,6725,100
1032142,6686,2021-05-13,11286,100
1016458,354,2021-08-14,1672,25
884009,693,2021-08-04,703,14
648682,1449,2021-06-13,26246,75
203219,13582,2021-08-22,6975,100
791466,8199,2021-07-27,713,9
988709,7571,2021-07-07,6558,100
667487,12173,2021-05-29,96,1
602509,496,2021-08-06,10421,1
5324,8437,2021-04-18,6598,92
15607,3043,2021-04-21,18538,100
646903,16228,2021-07-23,57375,46
616003,13865,2021-07-17,131,2
927973,9617,2021-06-19,8422,100
215229,7793,2021-08-01,873,14
896751,8081,2021-05-17,6358,100
931816,11754,2021-06-11,23673,100
505244,15297,2021-08-15,15991,63
